town,flat_type,block,street_name,flat_model
,,78,LOR LEW LIAN,
,,79,SERANGOON NTH AVE 1,
,,80,SERANGOON AVE 2,
,,134,SERANGOON AVE 4,
,,132,SERANGOON CTRL,
,,131,TAMPINES ST 11,
,,133,TAMPINES ST 21,
,,89,TAMPINES ST 91,
,,62,TAMPINES ST 81,
,,422,TAMPINES AVE 4,
,,507,TAMPINES ST 22,
,,508,TAMPINES ST 12,
,,517,TAMPINES ST 23,
,,95,TAMPINES ST 24,
,,93,TAMPINES ST 41,
,,43,TAMPINES ST 82,
,,543,TAMPINES ST 83,
,,547,TAMPINES AVE 5,
,,708,LOR 2 TOA PAYOH,
,,707,LOR 8 TOA PAYOH,
,,713,LOR 1 TOA PAYOH,
,,609,LOR 5 TOA PAYOH,
,,61,LOR 3 TOA PAYOH,
,,56,LOR 7 TOA PAYOH,
,,165,TOA PAYOH EAST,
,,710,LOR 4 TOA PAYOH,
,,613,TOA PAYOH CTRL,
,,602,TOA PAYOH NTH,
,,605,POTONG PASIR AVE 3,
,,112,POTONG PASIR AVE 1,
,,1,UPP ALJUNIED LANE,
,,722,JOO SENG RD,
,,72,MARSILING LANE,
,,31,MARSILING DR,
,,111,MARSILING RISE,
,,118,MARSILING CRES,
,,96,WOODLANDS CTR RD,
,,137,WOODLANDS ST 13,
,,139,WOODLANDS ST 11,
,,725,YISHUN RING RD,
,,24,YISHUN AVE 5,
,,304,YISHUN ST 72,
,,310,YISHUN ST 11,
,,160,YISHUN ST 21,
,,161,YISHUN ST 22,
,,164,YISHUN AVE 3,
,,177,CHAI CHEE AVE,
,,205,ZION RD,
,,248,LENGKOK BAHRU,
,,258,SPOTTISWOODE PK RD,
,,4,NEW MKT RD,
,,6,TG PAGAR PLAZA,
,,146,KELANTAN RD,
,,143,PAYA LEBAR WAY,
,,145,UBI AVE 1,
,,182,SIMS AVE,
,,228,YUNG PING RD,
,,227,TAO CHING RD,
,,244,GLOUCESTER RD,
,,113,BOON KENG RD,
,,163,WHAMPOA STH,
,,169,CAMBRIDGE RD,
,,204,TAMPINES ST 42,
,,135,LOR 6 TOA PAYOH,
,,184,KIM KEAT AVE,
,,225,YISHUN AVE 6,
,,123,YISHUN AVE 9,
,,307,YISHUN ST 71,
,,221,BT BATOK ST 32,
,,214,SILAT AVE,
,,142,TIONG BAHRU RD,
,,140,SAGO LANE,
,,141,ST. GEORGE'S LANE,
,,7,LIM CHU KANG RD,
,,40,C'WEALTH AVE,
,,77,QUEEN'S CL,
,,119,SERANGOON AVE 3,
,,114,POTONG PASIR AVE 2,
,,5,WOODLANDS AVE 1,
,,12,YISHUN AVE 4,
,,16,LOWER DELTA RD,
,,13,NILE RD,
,,108,JLN MEMBINA BARAT,
,,102,JLN BERSEH,
,,106,CHANDER RD,
,,63,CASSIA CRES,
,,60,OLD AIRPORT RD,
,,3,ALJUNIED RD,
,,19,BUANGKOK STH FARMWAY 1,
,,26,BT BATOK ST 33,
,,37,ALEXANDRA RD,
,,47,CHIN SWEE RD,
,,109,SIMS PL,
,,57,HOUGANG AVE 2,
,,48,HOUGANG AVE 8,
,,73,SEMBAWANG RD,
,,66,SIMEI ST 1,
,,264,BT BATOK ST 34,
,,271,BT MERAH CTRL,
,,664,LIM LIAK ST,
,,9,JLN TENTERAM,
,,10,WOODLANDS ST 32,
,,663,SIN MING AVE,
,,662,BT BATOK ST 52,
,,335B,DELTA AVE,
,,632,PIPIT RD,
,,633,HOUGANG AVE 4,
,,642,QUEENSWAY,
,,440,YISHUN ST 61,
,,509,BISHAN ST 12,
,,363,JLN MA'MOR,
,,365,TAMPINES ST 44,
,,334,TAMPINES ST 43,
,,323,BISHAN ST 13,
,,322,JLN DUSUN,
,,326,YISHUN AVE 2,
,,314,JOO CHIAT RD,
